ts,v_front,v_rear,set_left,set_right,meas_fl,meas_fr,meas_rl,meas_rr,stall,event
1788647764.939,41.56,40.87,0.0,0.0,0.0,-0.0,0.0,-0.0,0,
1788647765.035,41.56,40.87,0.0,0.0,0.0,-0.0,0.0,-0.0,0,
1788647765.135,41.56,40.87,0.0,0.0,0.0,-0.0,0.0,-0.0,0,
1788647765.234,41.56,40.87,0.0,0.0,0.0,-0.0,0.0,-0.0,0,
1788647765.342,41.56,40.87,0.0,0.0,0.0,-0.0,0.0,-0.0,0,
1788647765.434,41.56,40.87,0.0,0.0,0.0,-0.0,0.0,-0.0,0,
1788647765.557,41.56,40.87,0.0,0.0,0.0,-0.0,0.0,-0.0,0,
1788647765.635,41.56,40.87,0.0,0.0,0.0,-0.0,0.0,-0.0,0,
1788647765.738,41.56,40.87,0.0,0.0,0.0,-0.0,0.0,-0.0,0,
1788647765.837,41.56,40.87,0.0,0.0,0.0,-0.0,0.0,-0.0,0,
1788647765.935,41.56,40.87,0.0,0.0,0.0,-0.0,0.0,-0.0,0,
1788647766.047,41.56,40.87,0.0,0.0,0.0,-0.0,0.0,-0.0,0,
1788647766.135,41.56,40.87,0.0,0.0,0.0,-0.0,0.0,-0.0,0,
1788647766.239,41.56,40.87,0.0,0.0,0.0,-0.0,0.0,-0.0,0,
1788647766.341,41.56,40.87,0.0,0.0,0.0,-0.0,0.0,-0.0,0,
1788647766.454,41.56,40.87,0.0,0.0,0.0,-0.0,0.0,-0.0,0,
1788647766.541,41.56,40.87,0.0,0.0,0.0,-0.0,0.0,-0.0,0,
1788647766.638,41.56,40.87,0.0,0.0,0.0,-0.0,0.0,-0.0,0,
1788647766.745,41.56,40.87,0.0,0.0,0.0,-0.0,0.0,-0.0,0,
1788647766.847,41.56,40.87,0.0,0.0,0.0,-0.0,0.0,-0.0,0,
1788647766.948,41.56,40.87,0.0,0.0,0.0,-0.0,0.0,-0.0,0,
1788647767.036,41.56,40.87,0.0,0.0,0.0,-0.0,0.0,-0.0,0,
1788647767.147,41.56,40.87,0.0,0.0,0.0,-0.0,0.0,-0.0,0,
1788647767.241,41.56,40.87,0.0,0.0,0.0,-0.0,0.0,-0.0,0,
1788647767.334,41.56,40.87,0.0,0.0,0.0,-0.0,0.0,-0.0,0,
1788647767.450,41.56,40.87,0.0,0.0,0.0,-0.0,0.0,-0.0,0,
1788647767.537,41.56,40.87,0.0,0.0,0.0,-0.0,0.0,-0.0,0,
1788647767.646,41.56,40.87,0.0,0.0,0.0,-0.0,0.0,-0.0,0,
1788647767.736,41.56,40.87,0.0,0.0,0.0,-0.0,0.0,-0.0,0,
1788647767.840,41.56,40.87,0.0,0.0,0.0,-0.0,0.0,-0.0,0,
1788647767.942,41.56,40.87,0.0,0.0,0.0,-0.0,0.0,-0.0,0,
1788647768.036,41.56,40.87,0.0,0.0,0.0,-0.0,0.0,-0.0,0,
